a \ j,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,4,8,16,1,2,4,8,16,1,2,4,8,16,1,2,4,8,16,1,2,4,8,16,1,2,4,8,16,1
3,3,9,27,19,26,16,17,20,29,25,13,8,24,10,30,28,22,4,12,5,15,14,11,2,6,18,23,7,21,1
4,4,16,2,8,1,4,16,2,8,1,4,16,2,8,1,4,16,2,8,1,4,16,2,8,1,4,16,2,8,1
5,5,25,1,5,25,1,5,25,1,5,25,1,5,25,1,5,25,1,5,25,1,5,25,1,5,25,1,5,25,1
6,6,5,30,25,26,1,6,5,30,25,26,1,6,5,30,25,26,1,6,5,30,25,26,1,6,5,30,25,26,1
7,7,18,2,14,5,4,28,10,8,25,20,16,19,9,1,7,18,2,14,5,4,28,10,8,25,20,16,19,9,1
8,8,2,16,4,1,8,2,16,4,1,8,2,16,4,1,8,2,16,4,1,8,2,16,4,1,8,2,16,4,1
9,9,19,16,20,25,8,10,28,4,5,14,2,18,7,1,9,19,16,20,25,8,10,28,4,5,14,2,18,7,1
10,10,7,8,18,25,2,20,14,16,5,19,4,9,28,1,10,7,8,18,25,2,20,14,16,5,19,4,9,28,1
11,11,28,29,9,6,4,13,19,23,5,24,16,21,14,30,20,3,2,22,25,27,18,12,8,26,7,15,10,17,1
12,12,20,23,28,26,2,24,9,15,25,21,4,17,18,30,19,11,8,3,5,29,7,22,16,6,10,27,14,13,1
13,13,14,27,10,6,16,22,7,29,5,3,8,11,19,30,18,17,4,21,25,15,9,24,2,26,28,23,20,12,1
14,14,10,16,7,5,8,19,18,4,25,9,2,28,20,1,14,10,16,7,5,8,19,18,4,25,9,2,28,20,1
15,15,8,27,2,30,16,23,4,29,1,15,8,27,2,30,16,23,4,29,1,15,8,27,2,30,16,23,4,29,1
16,16,8,4,2,1,16,8,4,2,1,16,8,4,2,1,16,8,4,2,1,16,8,4,2,1,16,8,4,2,1
17,17,10,15,7,26,8,12,18,27,25,22,2,3,20,30,14,21,16,24,5,23,19,13,4,6,9,29,28,11,1
18,18,14,4,10,25,16,9,7,2,5,28,8,20,19,1,18,14,4,10,25,16,9,7,2,5,28,8,20,19,1
19,19,20,8,28,5,2,7,9,16,25,10,4,14,18,1,19,20,8,28,5,2,7,9,16,25,10,4,14,18,1
20,20,28,2,9,25,4,18,19,8,5,7,16,10,14,1,20,28,2,9,25,4,18,19,8,5,7,16,10,14,1
21,21,7,23,18,6,2,11,14,15,5,12,4,22,28,30,10,24,8,13,25,29,20,17,16,26,19,27,9,3,1
22,22,19,15,20,6,8,21,28,27,5,17,2,13,7,30,9,12,16,11,25,23,10,3,4,26,14,29,18,24,1
23,23,2,15,4,30,8,29,16,27,1,23,2,15,4,30,8,29,16,27,1,23,2,15,4,30,8,29,16,27,1
24,24,18,29,14,26,4,3,10,23,25,11,16,12,9,30,7,13,2,17,5,27,28,21,8,6,20,15,19,22,1
25,25,5,1,25,5,1,25,5,1,25,5,1,25,5,1,25,5,1,25,5,1,25,5,1,25,5,1,25,5,1
26,26,25,30,5,6,1,26,25,30,5,6,1,26,25,30,5,6,1,26,25,30,5,6,1,26,25,30,5,6,1
27,27,16,29,8,30,4,15,2,23,1,27,16,29,8,30,4,15,2,23,1,27,16,29,8,30,4,15,2,23,1
28,28,9,4,19,5,16,14,20,2,25,18,8,7,10,1,28,9,4,19,5,16,14,20,2,25,18,8,7,10,1
29,29,4,23,16,30,2,27,8,15,1,29,4,23,16,30,2,27,8,15,1,29,4,23,16,30,2,27,8,15,1
30,30,1,30,1,30,1,30,1,30,1,30,1,30,1,30,1,30,1,30,1,30,1,30,1,30,1,30,1,30,1
